,loan_amnt,funded_amnt,funded_amnt_inv,installment,grade,sub_grade,home_ownership,annual_inc,loan_status
46,5000.0,5000.0,5000.0,158.77,1,3,1,100000.0,0
47,10000.0,10000.0,10000.0,325.74,2,7,0,27000.0,1
48,10000.0,10000.0,10000.0,304.36,1,16,0,60000.0,1
49,11000.0,11000.0,11000.0,337.75,1,11,0,70000.0,1
50,15000.0,15000.0,15000.0,483.38,2,8,1,80000.0,0
51,25600.0,25600.0,25350.0,824.96,2,8,0,110000.0,1
52,7000.0,7000.0,7000.0,228.02,2,7,0,40000.0,1
53,12000.0,12000.0,12000.0,421.65,3,15,0,50000.0,0
54,12000.0,12000.0,12000.0,386.7,2,8,0,46000.0,1
55,21000.0,21000.0,20975.0,555.33,5,23,0,50000.0,0
56,16000.0,16000.0,15950.0,423.11,5,23,0,81000.0,1
57,10000.0,10000.0,10000.0,334.16,2,4,2,39000.0,1
58,10000.0,10000.0,10000.0,325.74,2,7,0,51400.0,1
59,7100.0,7100.0,7100.0,252.33,4,12,1,33000.0,1
60,13000.0,13000.0,13000.0,293.74,2,2,1,30000.0,1
61,17500.0,8950.0,8925.0,223.74,4,14,0,40000.0,1
62,17675.0,17675.0,17675.0,417.25,3,10,0,50000.0,1
63,8000.0,8000.0,8000.0,284.31,4,12,0,62000.0,1
64,10000.0,10000.0,9975.0,215.69,2,7,0,45996.0,0
65,3500.0,3500.0,3500.0,114.01,2,7,1,55000.0,1
66,12500.0,8925.0,8925.0,223.11,4,14,0,30000.0,0
67,16425.0,16425.0,16425.0,563.53,3,6,0,44544.0,1
68,8200.0,8200.0,8200.0,223.14,6,26,0,75000.0,0
69,15000.0,15000.0,15000.0,517.42,3,10,2,61000.0,1
70,20975.0,13575.0,13550.0,341.63,4,17,1,44000.0,1
71,6400.0,6400.0,6400.0,227.45,4,12,0,75000.0,0
72,3000.0,3000.0,3000.0,101.8,3,5,0,33600.0,1
73,12000.0,12000.0,12000.0,426.47,4,12,0,50000.0,1
74,14400.0,14400.0,14400.0,457.25,1,3,2,150000.0,1
75,12000.0,12000.0,12000.0,413.94,3,10,0,90000.0,1
76,11000.0,11000.0,11000.0,373.24,3,5,1,48000.0,1
77,7250.0,7200.0,7175.0,197.51,6,27,0,75000.0,1
78,15000.0,15000.0,15000.0,469.36,1,1,1,52000.0,1
79,18000.0,18000.0,18000.0,475.99,5,23,1,65000.0,1
80,35000.0,22075.0,22050.0,551.84,4,14,1,150000.0,1
81,10000.0,10000.0,10000.0,343.09,3,6,0,68000.0,1
82,11800.0,11800.0,11800.0,395.83,2,2,0,42000.0,1
83,4500.0,4500.0,4500.0,136.96,1,16,0,53000.0,1
84,7000.0,7000.0,7000.0,234.82,2,2,0,35000.0,1
85,9200.0,9200.0,9200.0,307.43,2,4,0,60000.0,1
87,4500.0,4500.0,4475.0,97.06,2,7,1,42000.0,1
88,12000.0,12000.0,12000.0,423.61,4,18,0,88365.0,1
89,12000.0,12000.0,12000.0,407.17,3,5,0,72000.0,1
90,12000.0,12000.0,12000.0,390.88,2,7,0,62000.0,1
91,7000.0,7000.0,7000.0,228.02,2,7,1,43680.0,1
92,8200.0,8200.0,8200.0,214.62,5,22,0,120000.0,1
93,10500.0,10500.0,10500.0,352.23,2,2,0,66000.0,1
94,7000.0,7000.0,7000.0,231.54,2,0,2,39120.0,1
96,20000.0,12800.0,12775.0,282.86,2,0,1,47800.0,1
97,17500.0,17500.0,17500.0,437.47,4,14,1,45000.0,0
98,3500.0,3500.0,3500.0,106.53,1,16,1,83000.0,1
100,6200.0,6200.0,6200.0,199.8,2,8,0,25000.0,0
101,16000.0,16000.0,16000.0,402.65,4,17,0,65000.0,1
102,6000.0,6000.0,6000.0,190.52,1,3,2,28800.0,1
103,7200.0,7200.0,7200.0,232.02,2,8,0,135000.0,1
104,9500.0,9500.0,9500.0,301.66,1,3,1,50000.0,1
105,18825.0,18825.0,18800.0,465.53,4,12,0,38000.0,0
106,24000.0,24000.0,24000.0,781.76,2,7,0,45000.0,1
107,6000.0,6000.0,6000.0,203.59,3,5,0,80000.0,1
108,6000.0,6000.0,6000.0,203.59,3,5,0,50000.0,1
109,2100.0,2100.0,2100.0,70.18,2,4,1,30000.0,1
110,5500.0,5500.0,5500.0,168.88,1,11,1,110000.0,1
111,11000.0,11000.0,11000.0,337.75,1,11,2,45608.0,1
112,26800.0,26800.0,26800.0,723.38,6,25,1,120000.0,1
113,8000.0,8000.0,8000.0,268.36,2,2,1,35000.0,1
114,10000.0,10000.0,10000.0,362.78,4,19,0,75000.0,0
115,8000.0,8000.0,8000.0,264.61,2,0,1,35000.0,1
116,10000.0,10000.0,10000.0,317.54,1,3,0,24000.0,1
117,12000.0,12000.0,12000.0,396.92,2,0,1,126000.0,1
118,10000.0,10000.0,10000.0,312.91,1,1,0,43000.0,1
119,12000.0,12000.0,12000.0,386.7,2,8,0,50000.0,1
120,25000.0,25000.0,23088.16106,575.12,3,5,1,67000.0,0
121,19750.0,19750.0,19725.0,643.33,2,7,0,45000.0,0
122,10000.0,10000.0,10000.0,322.25,2,8,0,31200.0,1
123,13650.0,13650.0,13650.0,456.12,2,4,0,66000.0,1
124,28000.0,11800.0,11775.0,312.04,5,23,0,52000.0,0
125,18000.0,18000.0,18000.0,563.23,1,1,0,56964.0,1
126,2500.0,2500.0,2500.0,85.78,3,6,0,49500.0,1
127,21000.0,21000.0,20120.80657,559.89,5,24,0,70000.0,1
128,35000.0,35000.0,35000.0,1111.37,1,3,1,125000.0,1
129,10000.0,10000.0,10000.0,311.11,1,9,0,33000.0,1
130,7000.0,7000.0,7000.0,234.82,2,2,0,30000.0,1
131,24000.0,24000.0,24000.0,843.3,3,15,1,90000.0,0
132,10625.0,10625.0,10625.0,330.56,1,9,1,23000.0,1
133,5000.0,5000.0,5000.0,172.48,3,10,0,24000.0,1
134,8850.0,8850.0,8850.0,271.73,1,11,0,62000.0,1
135,6375.0,6375.0,6375.0,198.34,1,9,0,44000.0,1
136,6000.0,6000.0,6000.0,198.46,2,0,0,90000.0,1
137,11100.0,11100.0,11100.0,340.82,1,11,0,41000.0,0
138,10000.0,10000.0,10000.0,225.95,2,2,1,56000.0,1
139,6200.0,6200.0,6200.0,188.71,1,16,1,26500.0,1
140,15000.0,15000.0,15000.0,547.12,5,20,0,54000.0,1
141,4200.0,4200.0,4200.0,138.92,2,0,0,53000.0,1
142,14000.0,14000.0,14000.0,480.33,3,6,0,52800.0,1
143,8875.0,8875.0,8875.0,276.11,1,9,1,38000.0,1
144,13500.0,13500.0,13500.0,435.04,2,8,0,38000.0,1
145,12000.0,12000.0,12000.0,386.7,2,8,0,42000.0,0
146,16000.0,16000.0,15975.0,423.11,5,23,0,55000.0,1
147,21600.0,21600.0,20498.26578,565.32,5,22,1,60000.0,1
148,6000.0,6000.0,6000.0,195.44,2,7,1,87000.0,1
149,8450.0,8450.0,8425.0,208.97,4,12,2,25000.0,1
150,20000.0,20000.0,18590.33777,460.1,3,5,0,82000.0,1
151,10000.0,10000.0,10000.0,330.76,2,0,0,60000.0,0
152,12000.0,12000.0,12000.0,423.61,4,18,1,80000.0,1
153,13475.0,13475.0,13450.0,309.99,3,5,0,25000.0,0
154,7200.0,7200.0,7200.0,240.59,2,4,0,48000.0,1
155,5600.0,5600.0,5600.0,193.17,3,10,1,85000.0,0
156,12000.0,12000.0,11975.0,411.71,3,6,0,57000.0,1
157,8500.0,8500.0,8500.0,258.71,1,16,0,25000.0,1
158,8000.0,8000.0,8000.0,257.8,2,8,0,34000.0,1
159,8000.0,8000.0,8000.0,267.33,2,4,0,40000.0,1
160,16000.0,16000.0,8150.0,382.92,3,13,0,42656.4,1
161,15000.0,15000.0,15000.0,536.81,4,14,1,44400.0,1
162,10000.0,10000.0,10000.0,322.25,2,8,2,30000.0,1
163,10000.0,10000.0,10000.0,307.04,1,11,1,70000.0,1
164,8000.0,8000.0,8000.0,275.96,3,10,0,28000.0,1
165,22000.0,22000.0,22000.0,708.95,2,8,1,50000.0,1
166,6000.0,6000.0,6000.0,205.86,3,6,1,94800.0,1
167,16000.0,16000.0,15975.0,339.25,2,8,2,40000.0,1
168,2500.0,2500.0,2500.0,77.78,1,9,2,12000.0,0
169,13500.0,13500.0,13500.0,435.04,2,8,1,36000.0,1
170,25000.0,25000.0,25000.0,835.39,2,4,0,225000.0,1
171,10000.0,10000.0,10000.0,339.31,3,5,0,45900.0,1
172,2500.0,2500.0,2500.0,84.83,3,5,0,27200.0,1
173,7325.0,7325.0,7325.0,245.72,2,2,0,42000.0,1
174,4000.0,4000.0,4000.0,133.67,2,4,0,135000.0,1
175,10000.0,10000.0,10000.0,339.31,3,5,0,65000.0,0
176,7750.0,7750.0,7750.0,277.36,4,14,0,24000.0,0
177,20000.0,20000.0,20000.0,539.84,6,25,0,70000.0,0
178,9600.0,9600.0,9600.0,320.79,2,4,0,65000.0,1
179,21000.0,21000.0,21000.0,464.07,2,0,0,60000.0,0
180,14000.0,14000.0,14000.0,456.03,2,7,0,30000.0,1
181,13350.0,13350.0,13350.0,446.1,2,4,0,43000.0,1
182,15000.0,15000.0,15000.0,533.08,4,12,0,42000.0,0
183,15000.0,15000.0,15000.0,536.81,4,14,0,75000.0,0
184,11000.0,11000.0,10750.0,253.06,3,5,1,129000.0,1
185,35000.0,35000.0,35000.0,1140.07,2,7,1,168000.0,1
186,9000.0,9000.0,9000.0,293.16,2,7,1,74000.0,1
187,22475.0,22475.0,22425.0,537.87,3,13,1,52000.0,1
188,16000.0,16000.0,16000.0,536.72,2,2,0,58500.0,0
189,13500.0,13500.0,13500.0,452.86,2,2,0,71000.0,1
190,24000.0,24000.0,24000.0,805.08,2,2,0,75000.0,1
191,12000.0,12000.0,12000.0,390.88,2,7,0,60000.0,1
192,8400.0,8400.0,8150.0,207.73,4,12,0,87996.0,1
193,28000.0,28000.0,27975.0,704.64,4,17,1,140000.0,1
194,14000.0,14000.0,14000.0,429.86,1,11,0,66000.0,1
195,12000.0,12000.0,12000.0,411.71,3,6,1,70000.0,0
196,25000.0,25000.0,25000.0,826.9,2,0,1,100000.0,1
197,9000.0,9000.0,9000.0,301.91,2,2,0,50000.0,1
198,13250.0,13250.0,13250.0,431.6,2,7,0,35000.0,1
199,20000.0,20000.0,20000.0,678.61,3,5,0,75000.0,1
200,3000.0,3000.0,3000.0,103.49,3,10,0,71000.0,1
201,7350.0,7350.0,7350.0,239.42,2,7,1,48000.0,1
202,11500.0,11500.0,11500.0,400.18,3,13,0,36000.0,1
203,13650.0,13650.0,13650.0,456.12,2,4,1,86000.0,0
204,10500.0,10500.0,10500.0,370.66,4,18,0,30000.0,0
205,12000.0,12000.0,11975.0,386.7,2,8,0,60000.0,1
206,6000.0,6000.0,6000.0,190.52,1,3,0,34000.0,1
207,11500.0,11500.0,11500.0,400.18,3,13,1,44200.0,1
208,7000.0,7000.0,7000.0,233.91,2,4,1,82000.0,1
209,29500.0,29500.0,28513.45925,786.51,5,24,1,83000.0,1
210,2000.0,2000.0,2000.0,69.6,3,13,0,41000.0,1
211,11625.0,11625.0,11625.0,394.45,3,5,1,36000.0,1
212,15075.0,15075.0,15075.0,517.21,3,6,0,35000.0,0
213,5300.0,5300.0,5300.0,184.43,3,13,0,30000.0,1
214,8200.0,8200.0,8200.0,251.77,1,11,0,40000.0,1
215,12000.0,12000.0,12000.0,400.99,2,4,1,105000.0,1
216,8650.0,8650.0,8650.0,296.78,3,6,1,45000.0,1
217,21000.0,11800.0,11500.0,294.98,4,14,1,109000.0,1
219,12000.0,12000.0,11975.0,400.99,2,4,0,83000.0,1
220,9500.0,9500.0,9500.0,318.68,2,2,1,52500.0,0
221,7400.0,7400.0,7400.0,251.09,3,5,2,25000.0,1
222,14400.0,14400.0,14400.0,488.6,3,5,1,60000.0,1
223,24250.0,18100.0,18075.0,519.76,7,32,1,120000.0,1
224,7200.0,7200.0,7200.0,225.29,1,1,0,68000.0,0
225,26000.0,26000.0,25975.0,642.96,4,12,1,53000.0,0
226,7000.0,7000.0,6975.0,154.69,2,0,1,69600.0,0
227,4000.0,4000.0,4000.0,124.45,1,9,0,65000.0,1
228,1500.0,1500.0,1500.0,53.69,4,14,1,144000.0,1
229,19600.0,19600.0,19600.0,654.94,2,4,0,75000.0,1
230,2500.0,2500.0,2500.0,82.69,2,0,1,29000.0,1
231,10000.0,10000.0,10000.0,335.45,2,2,0,70000.0,0
232,10000.0,10000.0,10000.0,307.04,1,11,0,45000.0,1
233,4225.0,4225.0,4225.0,141.18,2,4,1,55200.0,1
234,3500.0,3500.0,3500.0,109.52,1,1,1,61440.0,1
235,12000.0,12000.0,12000.0,368.45,1,11,1,56000.0,1
236,16500.0,16500.0,16500.0,523.93,1,3,0,47000.0,1
237,22000.0,22000.0,21975.0,603.5,6,27,0,55000.0,1
238,12000.0,12000.0,12000.0,413.94,3,10,0,71000.0,1
239,15600.0,15600.0,15600.0,352.48,2,2,0,50000.0,0
240,10800.0,10800.0,10800.0,360.89,2,4,0,135000.0,1
241,14000.0,14000.0,14000.0,467.82,2,4,1,63000.0,1
243,6000.0,6000.0,6000.0,203.59,3,5,1,50000.0,1
244,12000.0,12000.0,12000.0,386.7,2,8,0,80000.0,1
245,10000.0,10000.0,10000.0,334.16,2,4,0,45000.0,1
246,8000.0,8000.0,8000.0,250.33,1,1,0,78000.0,1
247,14125.0,14125.0,14125.0,455.18,2,8,0,33000.0,1
248,14000.0,14000.0,14000.0,469.63,2,2,0,62800.0,1
249,13200.0,8975.0,8975.0,224.36,4,14,0,26400.0,1
250,4000.0,4000.0,4000.0,146.69,5,21,1,80000.0,1
251,4000.0,4000.0,4000.0,134.18,2,2,0,25000.0,0
252,10500.0,10500.0,10500.0,319.58,1,16,1,65000.0,1
253,5500.0,5500.0,5500.0,172.1,1,1,2,59000.0,1
254,7350.0,7350.0,7350.0,243.11,2,0,0,33000.0,1
255,10000.0,10000.0,10000.0,334.16,2,4,0,39000.0,0
256,12000.0,12000.0,12000.0,373.33,1,9,0,42000.0,1
257,5000.0,5000.0,5000.0,110.5,2,0,1,38004.0,1
258,8000.0,8000.0,8000.0,176.79,2,0,2,31000.0,1
259,4500.0,4500.0,4500.0,142.89,1,3,1,50700.0,1
260,18000.0,18000.0,17975.0,601.48,2,4,2,75000.0,1
261,12300.0,12300.0,12300.0,282.96,3,5,1,30000.0,1
262,12000.0,12000.0,12000.0,407.17,3,5,0,40000.0,1
263,10000.0,10000.0,10000.0,339.31,3,5,1,50000.0,1
264,6000.0,6000.0,6000.0,187.75,1,1,1,80000.0,1
265,12000.0,12000.0,12000.0,402.54,2,2,0,40000.0,1
266,12000.0,12000.0,12000.0,381.04,1,3,0,80000.0,0
267,7000.0,7000.0,7000.0,231.54,2,0,0,75000.0,1
268,35000.0,26825.0,26800.0,690.56,5,20,1,85000.0,1
269,1400.0,1400.0,1400.0,43.81,1,1,0,28800.0,1
270,16000.0,16000.0,16000.0,368.08,3,5,0,35000.0,0
271,3200.0,3200.0,3200.0,103.12,2,8,0,61200.0,1
272,8000.0,8000.0,8000.0,250.33,1,1,0,40000.0,1
273,11875.0,11875.0,11875.0,268.32,2,2,0,25920.0,0
274,5000.0,5000.0,5000.0,152.18,1,16,1,54000.0,1
275,1800.0,1800.0,1800.0,55.27,1,11,0,18000.0,1
276,35000.0,35000.0,35000.0,1111.37,1,3,0,85000.0,1
277,18000.0,18000.0,17950.0,571.56,1,3,0,78000.0,1
278,14000.0,14000.0,14000.0,438.07,1,1,2,45600.0,0
279,5000.0,5000.0,5000.0,167.08,2,4,0,70000.0,1
280,8000.0,8000.0,8000.0,281.1,3,15,0,70000.0,1
281,10000.0,10000.0,10000.0,304.36,1,16,1,80000.0,1
282,10000.0,10000.0,9975.0,311.11,1,9,0,50000.0,1
283,12000.0,12000.0,12000.0,400.99,2,4,1,35000.0,1
284,23200.0,23200.0,23175.0,725.94,1,1,1,65000.0,1
286,4800.0,4800.0,4800.0,167.03,3,13,1,75000.0,1
287,7300.0,7300.0,7300.0,241.46,2,0,0,35000.0,1
288,10400.0,10400.0,10400.0,335.14,2,8,0,40000.0,1
289,6600.0,6600.0,6600.0,212.69,2,8,1,100000.0,1
290,12000.0,12000.0,12000.0,381.04,1,3,2,40000.0,1
291,13250.0,13250.0,13250.0,474.19,4,14,0,52000.0,1
292,12000.0,12000.0,12000.0,396.92,2,0,0,92500.0,1
293,25000.0,25000.0,25000.0,805.63,2,8,0,61000.0,1
294,6000.0,6000.0,6000.0,195.44,2,7,0,36000.0,1
295,12000.0,12000.0,12000.0,373.33,1,9,1,68000.0,1
296,14400.0,14400.0,14400.0,476.3,2,0,0,80000.0,1
297,10000.0,10000.0,10000.0,334.16,2,4,0,43000.0,1
298,8000.0,8000.0,8000.0,264.61,2,0,0,150000.0,1
299,8000.0,8000.0,8000.0,282.41,4,18,0,50000.0,0
300,30000.0,30000.0,28673.79652,673.72,2,4,0,70000.0,0
301,18000.0,18000.0,18000.0,445.13,4,12,2,40000.0,0
302,13250.0,13250.0,13250.0,438.26,2,0,2,35000.0,1
303,14000.0,14000.0,14000.0,480.33,3,6,0,80000.0,1
304,20000.0,20000.0,19975.0,533.23,5,24,2,59000.0,0
305,10000.0,10000.0,10000.0,353.01,4,18,0,40000.0,1
306,35000.0,23250.0,23200.0,619.88,5,24,0,85000.0,1
307,4000.0,4000.0,4000.0,121.75,1,16,0,55000.0,1
308,13000.0,13000.0,13000.0,418.93,2,8,0,110000.0,1
309,28000.0,28000.0,28000.0,939.26,2,2,0,100000.0,1
310,10000.0,10000.0,10000.0,339.31,3,5,0,62000.0,1
311,20000.0,20000.0,20000.0,625.81,1,1,0,45000.0,1
312,18000.0,18000.0,17950.0,580.05,2,8,0,110000.0,1
313,9000.0,9000.0,9000.0,238.0,5,23,0,60000.0,0
314,25000.0,25000.0,24975.0,643.58,5,20,0,61500.0,0
315,10000.0,10000.0,10000.0,330.76,2,0,0,33000.0,1
316,4200.0,4200.0,4200.0,127.83,1,16,0,61000.0,1
317,20000.0,20000.0,19975.0,478.64,3,13,2,78216.0,0
318,18000.0,18000.0,17975.0,449.97,4,14,1,62000.0,0
319,24000.0,24000.0,24000.0,847.21,4,18,0,50964.0,1
320,4475.0,4475.0,4475.0,155.72,3,13,0,43680.0,1
322,12000.0,12000.0,12000.0,400.99,2,4,0,50700.0,1
323,18000.0,18000.0,18000.0,452.98,4,17,1,60000.0,1
324,5000.0,5000.0,5000.0,167.08,2,4,0,30000.0,0
325,3000.0,3000.0,3000.0,91.31,1,16,0,50000.0,1
326,25000.0,25000.0,24975.0,648.93,5,21,0,75000.0,1
328,12000.0,12000.0,12000.0,386.7,2,8,0,55000.0,0
329,20000.0,20000.0,20000.0,695.96,3,13,1,50000.0,1
330,10000.0,10000.0,10000.0,339.31,3,5,0,84000.0,1
331,15000.0,15000.0,15000.0,501.23,2,4,2,155000.0,1
332,12000.0,12000.0,12000.0,375.49,1,1,1,62000.0,1
334,6300.0,6300.0,6300.0,208.38,2,0,0,30000.0,1
336,35000.0,23150.0,21739.74813,578.71,4,14,1,208000.0,1
337,8250.0,8250.0,8086.748004,200.45,3,15,1,35004.0,1
339,10000.0,10000.0,10000.0,330.76,2,0,0,32000.0,0
340,24000.0,24000.0,24000.0,762.08,1,3,1,116400.0,0
341,14400.0,14400.0,14400.0,483.05,2,2,1,40000.0,1
342,6000.0,6000.0,6000.0,206.97,3,10,0,34000.0,1
343,22000.0,22000.0,21975.0,773.03,3,15,1,73000.0,1
344,12000.0,12000.0,12000.0,396.92,2,0,0,57200.0,0
345,16000.0,16000.0,16000.0,568.62,4,12,1,114000.0,1
346,10000.0,10000.0,10000.0,325.74,2,7,1,90000.0,1
347,16000.0,11625.0,11368.73446,301.76,5,21,1,54000.0,1
348,10000.0,10000.0,10000.0,335.45,2,2,0,35000.0,0
349,3500.0,3500.0,3500.0,118.76,3,5,0,56000.0,1
350,9600.0,9600.0,9600.0,309.36,2,8,0,35000.0,1
351,9875.0,9875.0,9875.0,309.0,1,1,1,40000.0,1
352,21500.0,16975.0,15953.42639,427.19,4,17,2,59000.0,1
353,4800.0,4800.0,4800.0,150.2,1,1,0,48000.0,1
354,7800.0,7800.0,7800.0,237.4,1,16,2,85000.0,1
355,20000.0,20000.0,20000.0,686.18,3,6,1,70000.0,1
356,9750.0,9750.0,9750.0,303.34,1,9,0,35000.0,0
357,18000.0,15050.0,14773.45751,365.67,3,15,1,91000.0,1
358,5000.0,5000.0,5000.0,152.18,1,16,1,30000.0,1
359,9000.0,9000.0,9000.0,310.45,3,10,0,45000.0,1
360,7200.0,7200.0,7175.0,225.29,1,1,0,55000.0,1
362,25000.0,25000.0,23505.29384,654.31,5,22,0,60000.0,0
363,25000.0,25000.0,25000.0,869.95,3,13,2,82000.0,1
364,10000.0,10000.0,10000.0,351.38,3,15,0,53000.0,1
365,8875.0,8875.0,8875.0,297.72,2,2,1,35360.0,0
366,15550.0,15550.0,15525.0,514.34,2,0,0,54000.0,1
368,7500.0,7500.0,7475.0,251.59,2,2,0,65000.0,1
369,8875.0,8875.0,8875.0,281.81,1,3,2,28800.0,1
370,4500.0,4500.0,4500.0,161.05,4,14,0,42000.0,1
371,5800.0,5800.0,5800.0,193.81,2,4,0,36000.0,1
372,10000.0,10000.0,10000.0,330.76,2,0,0,40000.0,1
373,10000.0,10000.0,10000.0,322.25,2,8,0,50000.0,1
374,14000.0,14000.0,14000.0,463.07,2,0,0,52000.0,1
375,25000.0,25000.0,23176.93361,648.93,5,21,1,85000.0,1
376,12000.0,12000.0,12000.0,381.04,1,3,0,32000.0,0
377,24000.0,24000.0,23975.0,750.97,1,1,2,75000.0,1
378,14000.0,14000.0,14000.0,480.33,3,6,0,80000.0,1
379,12000.0,12000.0,11975.0,381.04,1,3,1,40246.0,1
380,15000.0,15000.0,14224.10774,338.93,2,2,2,30000.0,0
381,8050.0,8050.0,8050.0,270.04,2,2,0,36000.0,0
382,5600.0,5600.0,5600.0,182.42,2,7,0,60000.0,1
383,7500.0,7500.0,7500.0,241.69,2,8,0,31200.0,1
384,7000.0,7000.0,7000.0,231.54,2,0,0,90000.0,1
385,5400.0,5400.0,5400.0,168.97,1,1,0,40000.0,1
386,16000.0,16000.0,16000.0,534.65,2,4,0,90000.0,1
387,35000.0,27575.0,26043.43249,619.26,2,4,1,105000.0,1
388,6000.0,6000.0,6000.0,121.38,1,1,0,30084.0,0
389,4125.0,4125.0,4125.0,93.21,2,2,1,36000.0,1
390,9800.0,9800.0,9800.0,345.95,4,18,0,67000.0,1
391,15700.0,15700.0,14931.3097,400.82,4,19,1,63000.0,1
392,5000.0,5000.0,5000.0,153.52,1,11,0,276000.0,1
393,9900.0,9900.0,9900.0,327.46,2,0,0,26400.0,1
394,4000.0,4000.0,4000.0,132.31,2,0,0,24000.0,1
395,15000.0,15000.0,15000.0,496.14,2,0,1,68400.0,1
396,6250.0,6250.0,6250.0,219.61,3,15,0,29120.0,1
397,6400.0,6400.0,6400.0,225.93,4,18,0,29120.0,1
398,8850.0,8850.0,8850.0,203.6,3,5,1,89122.0,1
399,12000.0,12000.0,12000.0,417.58,3,13,1,54000.0,1
400,15000.0,15000.0,14975.0,476.3,1,3,1,30000.0,1
401,6500.0,6500.0,6500.0,223.01,3,6,1,30000.0,1
402,8000.0,8000.0,8000.0,281.1,3,15,0,50000.0,1
403,30000.0,19825.0,18614.46557,539.47,6,26,1,92000.0,1
404,15000.0,15000.0,15000.0,517.42,3,10,1,100500.0,1
405,10200.0,10200.0,10200.0,349.96,3,6,0,40000.0,1
406,9000.0,9000.0,9000.0,300.74,2,4,1,47000.0,1
407,6500.0,6500.0,6500.0,229.46,4,18,1,68000.0,1
408,23000.0,23000.0,23000.0,625.86,6,26,1,95000.0,1
409,2000.0,2000.0,2000.0,62.59,1,1,0,39600.0,1
410,8000.0,8000.0,8000.0,271.45,3,5,2,30000.0,1
411,8875.0,8875.0,8875.0,276.11,1,9,0,30000.0,1
412,1500.0,1500.0,1500.0,54.72,5,20,0,17000.0,0
413,8000.0,8000.0,8000.0,267.33,2,4,0,42000.0,1
414,20000.0,16925.0,11925.0,399.55,3,10,0,75000.0,0
415,6500.0,6500.0,6500.0,215.0,2,0,0,42000.0,1
416,9600.0,9600.0,9600.0,325.74,3,5,1,27000.0,1
418,10000.0,10000.0,10000.0,312.91,1,1,1,46000.0,1
419,15000.0,15000.0,15000.0,501.23,2,4,1,80000.0,1
420,9000.0,9000.0,9000.0,276.34,1,11,1,45000.0,1
421,10000.0,10000.0,10000.0,312.91,1,1,0,72500.0,1
422,1000.0,1000.0,1000.0,34.5,3,10,0,18408.0,0
423,14000.0,14000.0,14000.0,438.07,1,1,0,30000.0,1
